index,Name,Gender,Document_Type,Document_Number,Address,New_DOB,Name_clean,Address_clean,Document_Number_clean,Document_valid,Combined_Text,Record_ID,Group_ID,Name_Length,Address_Length,Name_Freq,Address_Freq,Group_Size,Name_Encoded,Address_Encoded,Fraud_Label,Fraud_Probability,Fraud_Prediction,Risk_Level,Image_File,OCR_Text,OCR_Similarity,OCR_Match,Duplicate_Image_Flag,Final_Risk_Score,Final_Risk_Level,Gender_clean,Document_type_clean,DOB,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
511,Rasha Bal,Female,Passport,H5729711,"974, Devi Ganj, Hubli–Dharwad-633955",07-01-1973,rasha bal,974 devi ganj hublidharwad633955,H5729711,True,rasha bal 974 devi ganj hubli dharwad 633955,511,512,9,34,1,1,1,1678,1552,0,0.04,0,Low,img_1.jpg,rasha bal,1.0,Match,Yes,0.224,Low,female,passport,Unknown,True,rasha bal female Unknown passport H5729711 974 devi ganj hublidharwad633955,-1,0.0,Low
512,Saira Batra,Other,Aadhaar,9746 7744 2686,"H.No. 97, Manda Road, Nanded-685284",21-06-1985,saira batra,hno 97 manda road nanded685284,9.74677E+11,True,saira batra h no 97 manda road nanded 685284,512,513,11,32,2,1,1,1824,2352,1,0.62,1,Medium,img_2.jpg,saira batra,1.0,Match,Yes,0.572,Medium,other,aadhaar,Unknown,False,saira batra other Unknown aadhaar 9746 7744 2686 hno 97 manda road nanded685284,-1,0.4,Medium
513,Jhanvi Bajaj,Other,PAN,HXSPB9639H,"H.No. 89, Subramaniam Circle, Sasaram-587898",14-12-1971,jhanvi bajaj,hno 89 subramaniam circle sasaram587898,HXSPB9639H,True,jhanvi bajaj h no 89 subramaniam circle sasaram 587898,513,514,12,41,1,1,1,999,2294,0,0.08,0,Low,img_3.jpg,jhanvi bajaj,1.0,Match,Yes,0.248,Low,other,pan,Unknown,True,jhanvi bajaj other Unknown pan HXSPB9639H hno 89 subramaniam circle sasaram587898,-1,0.0,Low
514,Vidur Venkatesh,Other,Passport,U6712795,"H.No. 835, Sridhar Marg, Solapur-577291",12-02-2003,vidur venkatesh,hno 835 sridhar marg solapur577291,U6712795,True,vidur venkatesh h no 835 sridhar marg solapur 577291,514,515,15,36,1,1,1,2230,2246,0,0.07,0,Low,img_4.jpg,hsetaknev rudiv,0.2,Mismatch,Yes,0.402,Medium,other,passport,Unknown,True,vidur venkatesh other Unknown passport U6712795 hno 835 sridhar marg solapur577291,-1,0.0,Low
515,,,Aadhaar,3776 2679 7612,"67/178, Datta Marg, Rampur-092644",20-12-1990,nan,67178 datta marg rampur092644,3.77627E+11,True,none 67 178 datta marg rampur 092644,515,516,4,31,118,1,1,1495,1021,0,0.0,0,Low,img_5.jpg,enon,0.75,Mismatch,Yes,0.25,Low,nan,aadhaar,Unknown,False,nan nan Unknown aadhaar 3776 2679 7612 67178 datta marg rampur092644,-1,0.4,Medium
516,Nishith Swaminathan,Other,PAN,JIJPS7653E,"H.No. 42, Sachdev Circle, Nanded 511236",17-03-1979,nishith swaminathan,hno 42 sachdev circle nanded 511236,JIJPS7653E,True,nishith swaminathan h no 42 sachdev circle nanded 511236,516,517,19,36,1,1,1,1476,1936,0,0.03,0,Low,img_6.jpg,nishith swaminathan,1.0,Match,Yes,0.218,Low,other,pan,Unknown,True,nishith swaminathan other Unknown pan JIJPS7653E hno 42 sachdev circle nanded 511236,-1,0.0,Low
517,Kavya Choudhary,Male,Aadhaar,4723 2447 6060,"309, Vyas Street, Moradabad 581421",08-05-1992,kavya choudhary,309 vyas street moradabad 581421,4.72324E+11,True,kavya choudhary 309 vyas street moradabad 581421,517,518,15,32,1,1,1,1102,490,0,0.02,0,Low,img_7.jpg,kavya choudhary,1.0,Match,Yes,0.212,Low,male,aadhaar,Unknown,False,kavya choudhary male Unknown aadhaar 4723 2447 6060 309 vyas street moradabad 581421,-1,0.4,Medium
518,Nitya Chaudhuri,Other,Aadhaar,3316 5713 6352,"58/595, Bahl Ganj, Serampore-564852",07-05-2002,nitya chaudhuri,58595 bahl ganj serampore564852,3.31657E+11,True,nitya chaudhuri 58 595 bahl ganj serampore 564852,518,519,15,33,1,1,1,1491,890,1,0.14,0,Low,img_8.jpg,nitya chaudhuri,1.0,Match,Yes,0.284,Low,other,aadhaar,Unknown,False,nitya chaudhuri other Unknown aadhaar 3316 5713 6352 58595 bahl ganj serampore564852,-1,0.4,Medium
519,Anahi Varty,Other,PAN,WDGFV1184R,"28, Tailor Circle, Uluberia-395887",02-11-1998,anahi varty,28 tailor circle uluberia395887,WDGFV1184R,True,anahi varty 28 tailor circle uluberia 395887,519,520,11,32,1,1,1,205,445,0,0.0,0,Low,img_9.jpg,ytrav ihana,0.27,Mismatch,Yes,0.346,Low,other,pan,Unknown,True,anahi varty other Unknown pan WDGFV1184R 28 tailor circle uluberia395887,-1,0.0,Low
520,Vidur Agrawal,Other,Aadhaar,8177 6451 1153,"76, Barad Ganj, Durgapur 523643",22-12-1973,vidur agrawal,76 barad ganj durgapur 523643,8.17765E+11,True,vidur agrawal 76 barad ganj durgapur 523643,520,521,13,29,1,1,1,2212,1202,0,0.06,0,Low,img_0.jpg,vidur agrawal,1.0,Match,Yes,0.236,Low,other,aadhaar,Unknown,False,vidur agrawal other Unknown aadhaar 8177 6451 1153 76 barad ganj durgapur 523643,-1,0.4,Medium
521,Ivan Ganesh,Other,Aadhaar,5757 6047 7124,"H.No. 81, Sura Zila, Ballia 965349",21-10-1990,ivan ganesh,hno 81 sura zila ballia 965349,5.7576E+11,True,ivan ganesh h no 81 sura zila ballia 965349,521,522,11,31,1,1,1,934,2230,0,0.01,0,Low,img_1.jpg,ivan ganesh,1.0,Match,Yes,0.206,Low,other,aadhaar,Unknown,False,ivan ganesh other Unknown aadhaar 5757 6047 7124 hno 81 sura zila ballia 965349,-1,0.4,Medium
522,Madhav Kaul,Male,,Missing,"111, Vyas Chowk, Navi Mumbai 397829",17-02-1971,madhav kaul,111 vyas chowk navi mumbai 397829,NONE,False,madhav kaul 111 vyas chowk navi mumbai 397829,522,523,11,33,1,1,1,1240,163,1,0.07,0,Low,img_2.jpg,madhav kaul,1.0,Match,Yes,0.242,Low,male,nan,Unknown,False,madhav kaul male Unknown nan Missing 111 vyas chowk navi mumbai 397829,-1,0.4,Medium
523,Amani Vaidya,Other,Passport,J8374851,"H.No. 745, Boase Nagar, Rajpur Sonarpur-648345",14-10-1971,amani vaidya,hno 745 boase nagar rajpur sonarpur648345,J8374851,True,amani vaidya h no 745 boase nagar rajpur sonarpur 648345,523,524,12,43,1,1,1,180,2172,0,0.04,0,Low,img_3.jpg,amani vaidya,1.0,Match,Yes,0.224,Low,other,passport,Unknown,True,amani vaidya other Unknown passport J8374851 hno 745 boase nagar rajpur sonarpur648345,-1,0.0,Low
524,Kiara Iyer,,Passport,M1773720,"99/863, Halder Path, Panihati-904366",01-08-1970,kiara iyer,99863 halder path panihati904366,M1773720,True,kiara iyer 99 863 halder path panihati 904366,524,525,10,34,1,1,1,1140,1583,0,0.0,0,Low,img_4.jpg,kiara iyer,1.0,Match,Yes,0.2,Low,nan,passport,Unknown,True,kiara iyer nan Unknown passport M1773720 99863 halder path panihati904366,-1,0.0,Low
525,Sahil Acharya,Female,PAN,JYTPA2076K,"54, Chakrabarti Marg, Tadepalligudem 761271",10-05-1989,sahil acharya,54 chakrabarti marg tadepalligudem 761271,JYTPA2076K,True,sahil acharya 54 chakrabarti marg tadepalligudem 761271,525,526,13,41,1,1,1,1817,830,0,0.02,0,Low,img_5.jpg,sahil acharya,1.0,Match,Yes,0.212,Low,female,pan,Unknown,True,sahil acharya female Unknown pan JYTPA2076K 54 chakrabarti marg tadepalligudem 761271,-1,0.0,Low
526,Divij Chaudhuri,Other,,Missing,"99, Ghose Path, Panchkula-817149",05-10-1981,divij chaudhuri,99 ghose path panchkula817149,NONE,False,divij chaudhuri 99 ghose path panchkula 817149,526,527,15,30,1,1,1,556,1587,0,0.03,0,Low,img_6.jpg,divij chaudhuri,1.0,Match,Yes,0.218,Low,other,nan,Unknown,False,divij chaudhuri other Unknown nan Missing 99 ghose path panchkula817149,-1,0.4,Medium
527,Zain Gill,Other,Passport,S9956907,"H.No. 192, Bhatnagar Nagar, Kolkata-496869",16-02-1974,zain gill,hno 192 bhatnagar nagar kolkata496869,S9956907,True,zain gill h no 192 bhatnagar nagar kolkata 496869,527,528,9,39,1,1,1,2300,1761,0,0.08,0,Low,img_7.jpg,zain gill,1.0,Match,Yes,0.248,Low,other,passport,Unknown,True,zain gill other Unknown passport S9956907 hno 192 bhatnagar nagar kolkata496869,-1,0.0,Low
528,Rhea Tara,Male,Passport,N8599019,,07-06-1980,rhea tara,nan,N8599019,True,rhea tara none,528,529,9,4,1,122,1,1745,2378,0,0.04,0,Low,img_8.jpg,arat aehr,0.33,Mismatch,Yes,0.358,Low,male,passport,Unknown,True,rhea tara male Unknown passport N8599019 nan,-1,0.0,Low
529,Gatik Ramanathan,Female,Aadhaar,2286 8263 3751,"69/38, Tandon Marg, Amaravati 528516",28-07-1999,gatik ramanathan,6938 tandon marg amaravati 528516,2.28683E+11,True,gatik ramanathan 69 38 tandon marg amaravati 528516,529,530,16,34,1,1,1,716,1063,0,0.01,0,Low,img_9.jpg,gatik ramanathan,1.0,Match,Yes,0.206,Low,female,aadhaar,Unknown,False,gatik ramanathan female Unknown aadhaar 2286 8263 3751 6938 tandon marg amaravati 528516,-1,0.4,Medium
530,Seher Bora,Female,Aadhaar,9283 1841 4723,,28-10-2001,seher bora,nan,9.28318E+11,True,seher bora none,530,531,10,4,1,122,1,1920,2378,0,0.1,0,Low,img_0.jpg,seher bora,1.0,Match,Yes,0.26,Low,female,aadhaar,Unknown,False,seher bora female Unknown aadhaar 9283 1841 4723 nan,-1,0.4,Medium
531,Anahi Sachar,Female,PAN,UXTFS5111L,"66, Ray Marg, Mysore-168529",10-10-2005,anahi sachar,66 ray marg mysore168529,UXTFS5111L,True,anahi sachar 66 ray marg mysore 168529,531,532,12,25,1,1,1,198,1012,1,0.72,1,High,img_1.jpg,anahi sachar,1.0,Match,Yes,0.632,Medium,female,pan,Unknown,True,anahi sachar female Unknown pan UXTFS5111L 66 ray marg mysore168529,-1,0.0,Low
532,Chirag Borra,Female,Passport,O7443898,"533, Sandal Path, Tadipatri 058939",25-05-1993,chirag borra,533 sandal path tadipatri 058939,O7443898,True,chirag borra 533 sandal path tadipatri 058939,532,533,12,32,1,1,1,447,825,1,0.09,0,Low,img_2.jpg,chirag borra,1.0,Match,Yes,0.254,Low,female,passport,Unknown,True,chirag borra female Unknown passport O7443898 533 sandal path tadipatri 058939,-1,0.0,Low
533,,Other,Passport,Z6192377,"74, Boase Ganj, Bilaspur-109708",14-03-2005,nan,74 boase ganj bilaspur109708,Z6192377,True,none 74 boase ganj bilaspur 109708,533,534,4,29,118,1,1,1495,1159,0,0.07,0,Low,img_3.jpg,none,1.0,Match,Yes,0.242,Low,other,passport,Unknown,True,nan other Unknown passport Z6192377 74 boase ganj bilaspur109708,-1,0.0,Low
534,Jayesh Chaudhuri,Male,PAN,VPUHC9642G,"621, Solanki Chowk, Kulti-992574",09-11-1999,jayesh chaudhuri,621 solanki chowk kulti992574,VPUHC9642G,True,jayesh chaudhuri 621 solanki chowk kulti 992574,534,535,16,30,2,1,1,987,961,0,0.1,0,Low,img_4.jpg,jayesh chaudhuri,1.0,Match,Yes,0.26,Low,male,pan,Unknown,True,jayesh chaudhuri male Unknown pan VPUHC9642G 621 solanki chowk kulti992574,-1,0.0,Low
535,Navya Saini,Male,PAN,IOELS8947I,"H.No. 200, Bhavsar Road, Thrissur-643370",31-08-1997,navya saini,hno 200 bhavsar road thrissur643370,IOELS8947I,True,navya saini h no 200 bhavsar road thrissur 643370,535,536,11,37,1,1,1,1401,1767,1,0.58,1,Medium,img_5.jpg,navya saini,1.0,Match,Yes,0.548,Medium,male,pan,Unknown,True,navya saini male Unknown pan IOELS8947I hno 200 bhavsar road thrissur643370,-1,0.0,Low
536,Veer Ramanathan,Female,PAN,AHHGR6916O,,02-05-2001,veer ramanathan,nan,AHHGR6916O,True,veer ramanathan none,536,537,15,4,1,122,1,2205,2378,0,0.0,0,Low,img_6.jpg,veer ramanathan,1.0,Match,Yes,0.2,Low,female,pan,Unknown,True,veer ramanathan female Unknown pan AHHGR6916O nan,-1,0.0,Low
537,Ivan Kapadia,Male,Passport,U8244942,"22/19, Sankaran Chowk, Kadapa-392037",14-06-1973,ivan kapadia,2219 sankaran chowk kadapa392037,U8244942,True,ivan kapadia 22 19 sankaran chowk kadapa 392037,537,538,12,34,1,1,1,935,329,0,0.04,0,Low,img_7.jpg,ivan kapadia,1.0,Match,Yes,0.224,Low,male,passport,Unknown,True,ivan kapadia male Unknown passport U8244942 2219 sankaran chowk kadapa392037,-1,0.0,Low
538,Taimur Brahmbhatt,Female,Passport,M7452408,"516, Korpal, Sirsa 232255",05-10-1974,taimur brahmbhatt,516 korpal sirsa 232255,M7452408,True,taimur brahmbhatt 516 korpal sirsa 232255,538,539,17,23,1,1,1,2047,791,0,0.01,0,Low,img_8.jpg,taimur brahmbhatt,1.0,Match,Yes,0.206,Low,female,passport,Unknown,True,taimur brahmbhatt female Unknown passport M7452408 516 korpal sirsa 232255,-1,0.0,Low
539,Shayak Raju,Female,PAN,FXGBR1119T,"30/13, Arora Chowk, Bellary-060631",27-10-1977,shayak raju,3013 arora chowk bellary060631,FXGBR1119T,True,shayak raju 30 13 arora chowk bellary 060631,539,540,11,32,1,1,1,1985,473,0,0.03,0,Low,img_9.jpg,ujar kayahs,0.27,Mismatch,Yes,0.364,Low,female,pan,Unknown,True,shayak raju female Unknown pan FXGBR1119T 3013 arora chowk bellary060631,-1,0.0,Low
540,Indrans Lanka,Male,PAN,LSITL9085A,"H.No. 266, Goel Path, Proddatur-513389",10-07-1975,indrans lanka,hno 266 goel path proddatur513389,LSITL9085A,True,indrans lanka h no 266 goel path proddatur 513389,540,541,13,35,1,1,1,879,1815,1,0.64,1,Medium,img_0.jpg,indrans lanka,1.0,Match,Yes,0.584,Medium,male,pan,Unknown,True,indrans lanka male Unknown pan LSITL9085A hno 266 goel path proddatur513389,-1,0.0,Low
541,Dishani Sule,Female,PAN,JYUCS5184P,"21/26, Edwin Zila, Guna-445778",04-08-1974,dishani sule,2126 edwin zila guna445778,JYUCS5184P,True,dishani sule 21 26 edwin zila guna 445778,541,542,12,28,1,1,1,550,310,0,0.06,0,Low,img_1.jpg,dishani sule,1.0,Match,Yes,0.236,Low,female,pan,Unknown,True,dishani sule female Unknown pan JYUCS5184P 2126 edwin zila guna445778,-1,0.0,Low
542,Krish Rege,Other,PAN,FJAGR0854X,"24, Sundaram Street, Hubli–Dharwad 831000",04-01-1971,krish rege,24 sundaram street hublidharwad 831000,FJAGR0854X,True,krish rege 24 sundaram street hubli dharwad 831000,542,543,10,39,1,1,1,1184,374,0,0.06,0,Low,img_2.jpg,krish rege,1.0,Match,Yes,0.236,Low,other,pan,Unknown,True,krish rege other Unknown pan FJAGR0854X 24 sundaram street hublidharwad 831000,-1,0.0,Low
543,Manjari Vohra,Female,Aadhaar,6653 6235 9858,"817, Dara Street, Vadodara 047806",27-06-1989,manjari vohra,817 dara street vadodara 047806,6.65362E+11,True,manjari vohra 817 dara street vadodara 047806,543,544,13,31,1,1,1,1296,1301,0,0.12,0,Low,img_3.jpg,manjari vohra,1.0,Match,Yes,0.272,Low,female,aadhaar,Unknown,False,manjari vohra female Unknown aadhaar 6653 6235 9858 817 dara street vadodara 047806,-1,0.4,Medium
544,Krish Sabharwal,Other,Aadhaar,7491 8924 7151,"81/062, Chandra Path, Sambalpur 832479",07-09-1989,krish sabharwal,81062 chandra path sambalpur 832479,7.49189E+11,True,krish sabharwal 81 062 chandra path sambalpur 832479,544,545,15,36,1,1,1,1185,1283,0,0.07,0,Low,img_4.jpg,krish sabharwal,1.0,Match,Yes,0.242,Low,other,aadhaar,Unknown,False,krish sabharwal other Unknown aadhaar 7491 8924 7151 81062 chandra path sambalpur 832479,-1,0.4,Medium
545,Lavanya Vaidya,Female,Aadhaar,8074 2869 5060,"448, Bumb, New Delhi-139877",01-03-1976,lavanya vaidya,448 bumb new delhi139877,8.07429E+11,True,lavanya vaidya 448 bumb new delhi 139877,545,546,14,25,1,1,1,1236,693,0,0.0,0,Low,img_5.jpg,lavanya vaidya,1.0,Match,Yes,0.2,Low,female,aadhaar,Unknown,False,lavanya vaidya female Unknown aadhaar 8074 2869 5060 448 bumb new delhi139877,-1,0.4,Medium
546,Badal Buch,Male,PAN,RKTFB5083M,"H.No. 810, Venkataraman Street, Sonipat-822454",27-05-1977,badal buch,hno 810 venkataraman street sonipat822454,RKTFB5083M,True,badal buch h no 810 venkataraman street sonipat 822454,546,547,10,43,1,1,1,370,2232,0,0.02,0,Low,img_6.jpg,hcub ladab,0.5,Mismatch,Yes,0.312,Low,male,pan,Unknown,True,badal buch male Unknown pan RKTFB5083M hno 810 venkataraman street sonipat822454,-1,0.0,Low
547,Rasha Kannan,Other,PAN,WCKLK7374O,"13/540, Bahl Marg, Bijapur 194548",01-11-1973,rasha kannan,13540 bahl marg bijapur 194548,WCKLK7374O,True,rasha kannan 13 540 bahl marg bijapur 194548,547,548,12,31,1,1,1,1685,185,0,0.03,0,Low,img_7.jpg,rasha kannan,1.0,Match,Yes,0.218,Low,other,pan,Unknown,True,rasha kannan other Unknown pan WCKLK7374O 13540 bahl marg bijapur 194548,-1,0.0,Low
548,Kartik Dara,Male,PAN,IINCD3592W,"460, Konda Ganj, Nadiad 794848",07-07-2003,kartik dara,460 konda ganj nadiad 794848,IINCD3592W,True,kartik dara 460 konda ganj nadiad 794848,548,549,11,28,1,1,1,1080,723,0,0.09,0,Low,img_8.jpg,kartik dara,1.0,Match,Yes,0.254,Low,male,pan,Unknown,True,kartik dara male Unknown pan IINCD3592W 460 konda ganj nadiad 794848,-1,0.0,Low
549,Samar Khurana,Other,PAN,INOGK5269S,"H.No. 66, Swaminathan Circle, Mangalore-794911",11-06-1971,samar khurana,hno 66 swaminathan circle mangalore794911,INOGK5269S,True,samar khurana h no 66 swaminathan circle mangalore 794911,549,550,13,43,1,1,1,1869,2118,0,0.02,0,Low,img_9.jpg,samar khurana,1.0,Match,Yes,0.212,Low,other,pan,Unknown,True,samar khurana other Unknown pan INOGK5269S hno 66 swaminathan circle mangalore794911,-1,0.0,Low
550,Krish Shan,Male,PAN,ENBFS7800E,"96, Chanda Chowk, Madanapalle 655069",05-12-1988,krish shan,96 chanda chowk madanapalle 655069,ENBFS7800E,True,krish shan 96 chanda chowk madanapalle 655069,550,551,10,34,1,1,1,1187,1528,0,0.01,0,Low,img_0.jpg,krish shan,1.0,Match,Yes,0.206,Low,male,pan,Unknown,True,krish shan male Unknown pan ENBFS7800E 96 chanda chowk madanapalle 655069,-1,0.0,Low
551,Dhanush Master,Female,Aadhaar,2451 6842 7720,"H.No. 71, Sankaran, Jamalpur-366591",15-12-1974,dhanush master,hno 71 sankaran jamalpur366591,2.45168E+11,True,dhanush master h no 71 sankaran jamalpur 366591,551,552,14,32,1,1,1,520,2149,0,0.01,0,Low,img_1.jpg,dhanush master,1.0,Match,Yes,0.206,Low,female,aadhaar,Unknown,False,dhanush master female Unknown aadhaar 2451 6842 7720 hno 71 sankaran jamalpur366591,-1,0.4,Medium
552,Onkar Batra,Female,PAN,JSELB8252R,"H.No. 807, Swaminathan Path, Mau-576610",27-07-1976,onkar batra,hno 807 swaminathan path mau576610,JSELB8252R,True,onkar batra h no 807 swaminathan path mau 576610,552,553,11,36,1,1,1,1504,2225,0,0.0,0,Low,img_2.jpg,onkar batra,1.0,Match,Yes,0.2,Low,female,pan,Unknown,True,onkar batra female Unknown pan JSELB8252R hno 807 swaminathan path mau576610,-1,0.0,Low
553,Ivana Loke,Other,PAN,KTRAL6666L,"671, Balay Path, Srikakulam-158716",05-08-1994,ivana loke,671 balay path srikakulam158716,KTRAL6666L,True,ivana loke 671 balay path srikakulam 158716,553,554,10,32,1,1,1,953,1032,0,0.01,0,Low,img_3.jpg,ivana loke,1.0,Match,Yes,0.206,Low,other,pan,Unknown,True,ivana loke other Unknown pan KTRAL6666L 671 balay path srikakulam158716,-1,0.0,Low
554,Kartik Sodhi,Female,PAN,DGITS8672A,"44/499, Wable Marg, Tirunelveli 073814",13-06-1992,kartik sodhi,44499 wable marg tirunelveli 073814,DGITS8672A,True,kartik sodhi 44 499 wable marg tirunelveli 073814,554,555,12,36,1,1,1,1085,677,0,0.17,0,Low,img_4.jpg,kartik sodhi,1.0,Match,Yes,0.302,Low,female,pan,Unknown,True,kartik sodhi female Unknown pan DGITS8672A 44499 wable marg tirunelveli 073814,-1,0.0,Low
555,,Male,Passport,Q8244081,,20-05-1991,nan,nan,Q8244081,True,none none,555,556,4,4,118,122,1,1495,2378,0,0.098888801,0,Low,img_5.jpg,none,1.0,Match,Yes,0.259333281,Low,male,passport,Unknown,True,nan male Unknown passport Q8244081 nan,-1,0.0,Low
556,Navya Ravi,Male,PAN,LAKFR7514D,"33/17, Sandhu Street, Katihar-395402",18-07-1999,navya ravi,3317 sandhu street katihar395402,LAKFR7514D,True,navya ravi 33 17 sandhu street katihar 395402,556,557,10,34,1,1,1,1400,518,0,0.09,0,Low,img_6.jpg,ivar ayvan,0.1,Mismatch,Yes,0.434,Medium,male,pan,Unknown,True,navya ravi male Unknown pan LAKFR7514D 3317 sandhu street katihar395402,-1,0.0,Low
557,Dhanuk Apte,Other,Passport,T8170268,"H.No. 678, Kota Chowk, Faridabad 863104",20-06-2004,dhanuk apte,hno 678 kota chowk faridabad 863104,T8170268,True,dhanuk apte h no 678 kota chowk faridabad 863104,557,558,11,36,1,1,1,500,2129,0,0.01,0,Low,img_7.jpg,etpa kunahd,0.09,Mismatch,Yes,0.388,Low,other,passport,Unknown,True,dhanuk apte other Unknown passport T8170268 hno 678 kota chowk faridabad 863104,-1,0.0,Low
558,Dhruv Bhasin,Other,Passport,V7491049,"676, Sant Chowk, Jalandhar-664370",11-09-2000,dhruv bhasin,676 sant chowk jalandhar664370,V7491049,True,dhruv bhasin 676 sant chowk jalandhar 664370,558,559,12,31,1,1,1,534,1037,0,0.05,0,Low,img_8.jpg,dhruv bhasin,1.0,Match,Yes,0.23,Low,other,passport,Unknown,True,dhruv bhasin other Unknown passport V7491049 676 sant chowk jalandhar664370,-1,0.0,Low
